VOTE/COMMENT, GOOD SCORE, BAD SCORE
13.31050228,127,89
8.954356846,134,105
24.53061224,29,19
8.5,272,184
22.71875,20,11
13.43157895,56,39
14.25757576,79,52
11.9,23,16
9.452380952,22,20
21.33333333,8,7
5.53030303,39,27
8.814814815,18,9
6.785714286,21,7
8.875,9,6
5.147058824,21,12
5.8,11,4
7.909090909,6,5
11.83333333,3,3
5.4,9,6
7.888888889,5,4
5.333333333,12,3
6,1,0
5.444444444,5,3
6.4,2,3
11,1,1
8,0,1
15,1,0
7,1,0
6.5,2,0
13,1,0
5.5,0,2
9,1,0
19.50191571,120,134
